name,sex_or_gender,date_of_birth,country_of_citizenship,place_of_birth
Matt Walters,male,1979-08-22,United States of America,Melbourne
Sam Kieth,male,1963-01-11,United States of America,United States of America
Mary GrandPré,female,1954-02-13,United States of America,South Dakota
Susan Sontag,female,1933-01-16,United States of America,New York City
Mac Barnett,male,1982-08-23,United States of America,California
Joe Sacco,male,"1960-10-03, 1966-10-02","Malta, United States of America",Kirkop
Norman Bridwell,male,1928-02-15,United States of America,Kokomo
Nicholas Sparks,male,"1965-12-31, 1965-01-01",United States of America,Omaha
Bethany McLean,female,1970-12-12,United States of America,Hibbing
Catherine Fisher,female,1957-10-28,"United Kingdom, Wales",Newport
Héctor Tobar,male,1963-01-01,United States of America,Los Angeles
Giorgio Vasari,male,1511-07-30,Italy,Arezzo
Sue Miller,female,1943-11-29,United States of America,Chicago
Guy Delisle,male,1966-01-19,Canada,Quebec City
Fritjof Capra,male,1939-02-01,Austria,Vienna
Timur Vermes,male,1967-01-01,Germany,Nuremberg
Sheldon Harnick,male,1924-04-30,United States of America,Chicago
John Tiffany,male,1960-06-27,United Kingdom,Huddersfield
Portia de Rossi,female,1973-01-31,"Australia, United States of America",Horsham
Richard Francis Burton,male,1821-03-19,"United Kingdom of Great Britain and Ireland, United Kingdom","Torquay, Devon"
Colum McCann,male,1965-02-28,"Ireland, United States of America",Dublin
Charles Bukowski,male,1920-08-16,"Germany, United States of America",Andernach
Vincent van Gogh,male,1853-03-30,"Netherlands, Kingdom of the Netherlands",Zundert
John Bunyan,male,"1628-11-28, 1628-11-00","Kingdom of England, United Kingdom",Elstow
Taylor Caldwell,female,1900-09-07,"United Kingdom, United Kingdom of Great Britain and Ireland",Manchester
Patrick Stewart,male,1940-07-13,United Kingdom,Mirfield
Jandy Nelson,female,1965-11-25,United States of America,New York City
Elizabeth George Speare,female,1908-11-21,United States of America,Melrose
Blair Lent,male,1930-01-20,United States of America,Boston
Art Spiegelman,male,1948-02-15,United States of America,Stockholm
John Totleben,male,1958-02-16,United States of America,Erie
Nando Parrado,male,1949-12-09,Uruguay,Montevideo
Al Franken,male,1951-05-21,United States of America,Manhattan
Mike Barnicle,male,1943-10-15,United States of America,Worcester
Geoffrey Chaucer,male,1343-00-00,Kingdom of England,London
Miklós Nyiszli,male,1901-06-17,"Romania, Hungary",Șimleu Silvaniei
Junot Díaz,male,1968-12-31,"United States of America, Dominican Republic",Santo Domingo
James M. Cain,male,1892-07-01,United States of America,Annapolis
Spencer Locke,female,1991-09-20,United States of America,Winter Park
Edgar Rice Burroughs,male,"1875-09-01, 1875-02-23",United States of America,Chicago
Fred Gipson,male,1908-02-07,United States of America,Mason
Ann Druyan,female,1949-06-13,United States of America,Queens
Martin Cruz Smith,male,1942-11-03,United States of America,Reading
Stendhal,male,1783-01-23,France,Grenoble
Lindy West,female,1982-03-09,United States of America,United States of America
John Keats,male,1795-10-31,United Kingdom of Great Britain and Ireland,Moorgate
Scott Snyder,male,1976-01-01,United States of America,New York City
Julie Powell,female,1973-04-20,United States of America,Austin
Betty Mahmoody,female,1945-06-09,United States of America,Alma
John Joseph Adams,male,1976-07-31,United States of America,Perth Amboy
Kate Summerscale,female,1965-01-01,United Kingdom,London
Trina Schart Hyman,female,1939-04-08,United States of America,Philadelphia
Mo Hayder,female,1962-01-01,United Kingdom,Essex
Bart D. Ehrman,male,1955-10-05,United States of America,Lawrence
Sidney Hook,male,1902-12-20,United States of America,New York City
Jason Reich,male,1976-03-11,United States of America,Wantagh
Hugh Ambrose,male,1966-08-12,United States of America,Baltimore
Richard Kadrey,male,1957-08-27,United States of America,New York City
Justina Chen,female,1968-01-01,United States of America,Ridley Park
Naguib Mahfouz,male,1911-12-11,"Khedivate of Egypt, Sultanate of Egypt, Kingdom of Egypt, Republic of Egypt, United Arab Republic, Egypt",Cairo
Walter Farley,male,1915-06-26,United States of America,Syracuse
Émile Zola,male,1840-04-02,France,"Paris, Joseph"
Carlos Ruiz Zafón,male,1964-09-25,Spain,Barcelona
Mary Lawson,female,1946-01-01,Canada,Ontario
Douglas Coupland,male,1961-12-30,Canada,Rheinmünster
John Dickson Carr,male,1906-11-30,United States of America,Fayette County
Chuck Hogan,male,1967-08-04,United States of America,Boston
Jessica Seinfeld,female,1971-09-12,United States of America,Oyster Bay
Andre Norton,female,1912-02-17,United States of America,Cleveland
Dennis Janke,male,2000-01-01,United States of America,Cleveland
Doon Arbus,female,1945-04-03,United States of America,New York City
Sara Pennypacker,female,"1951-01-01, 1951-12-09",United States of America,Massachusetts
Jolande Jacobi,female,1890-03-25,"Austria, Hungary, Switzerland",Budapest
Jon Kabat-Zinn,male,1944-06-05,United States of America,New York City
Christopher Isherwood,male,1904-08-26,"United Kingdom, United States of America",Cheshire
Lech Jęczmyk,male,1936-01-10,Poland,Bydgoszcz
Sara Shepard,female,1973-04-08,United States of America,Philadelphia
Brian Bolland,male,1951-03-26,United Kingdom,Lincolnshire
Stephen Greenblatt,male,1943-11-07,United States of America,Boston
Anne McCaffrey,female,1926-04-01,"United States of America, Ireland",Cambridge
Glenn Beck,male,1964-02-10,United States of America,Everett
Celeste Ng,female,1980-07-30,United States of America,Pittsburgh
Lisa Kleypas,female,1964-11-05,United States of America,Temple
T. Harv Eker,male,1954-06-10,Canada,Toronto
Kingsley Amis,male,1922-04-16,United Kingdom,Clapham Common
Mihaly Csikszentmihalyi,male,1934-09-29,"Kingdom of Italy, Italian Regency of Carnaro, Free State of Fiume, Kingdom of Yugoslavia, Independent State of Croatia, Democratic Federal Yugoslavia, Socialist Federal Republic of Yugoslavia, United States of America",Rijeka
Clarissa Pinkola Estés,female,1945-01-27,United States of America,Indiana
Antonia Fraser,female,1932-08-27,United Kingdom,London
Andrew Solomon,male,1963-10-30,United States of America,Manhattan
Aaron Ehasz,male,1973-06-16,United States of America,United States of America
Diane Setterfield,female,1964-08-22,United Kingdom,Reading
Euripides,male,-0480-00-00,Classical Athens,Salamis Island
William C. Dietz,male,1945-01-01,United States of America,Seattle
Joe Hart,male,1987-04-19,United Kingdom,Shrewsbury
Steve Pieczenik,male,1943-12-07,"United States of America, Cuba",Havana
Lane Smith,male,1936-04-29,United States of America,Memphis
Ronald Knox,male,1888-02-17,United Kingdom,"Leicester, Kibworth"
Giulia Enders,female,1990-01-01,Germany,Mannheim
Jennifer A. Nielsen,female,1971-07-10,United States of America,Northern Utah
Mia Ikumi,female,1979-03-27,Japan,Ōsaka
Rupi Kaur,female,1992-10-04,Canada,Punjab
Arnaldur Indriðason,male,1961-01-28,Iceland,Reykjavík
Christos Tsiolkas,male,1965-01-01,Australia,Melbourne
Aprilynne Pike,female,1981-01-01,United States of America,Salt Lake City
Nick Offerman,male,1970-06-26,United States of America,Minooka
Lorraine Hansberry,female,1930-05-19,United States of America,Chicago
Alex Berenson,male,1973-01-06,United States of America,New York City
Arthur Nersesian,male,1958-01-01,United States of America,New York City
April Henry,female,1959-04-14,United States of America,Portland
Rachel Renée Russell,female,1959-03-13,United States of America, Joseph
Audre Lorde,female,1934-02-18,United States of America,New York City
Sheryl WuDunn,female,1959-11-16,United States of America,New York City
Alice Waters,female,1944-04-28,United States of America,Chatham Borough
Scott Sigler,male,1969-12-01,United States of America,Cheboygan
Jacqueline Wilson,female,1945-12-17,United Kingdom,Bath
Joe Quesada,male,"1962-01-12, 1962-12-01",United States of America,New York City
Jocelyn Davies,female,1959-06-18,"United Kingdom, Wales",Usk
Martin Sorrell,male,1945-02-14,United Kingdom,England
Lauren DeStefano,female,1984-10-13,United States of America,Connecticut
Robert M. Pirsig,male,1928-09-06,United States of America,Minneapolis
Patrick Ness,male,1971-10-17,United States of America,Fairfax County
Jeffrey Toobin,male,1960-05-21,United States of America,New York City
James E. Talmage,male,1862-09-21,"United Kingdom, United Kingdom of Great Britain and Ireland",Berkshire
Robert Penn Warren,male,1905-04-24,United States of America,Guthrie
Irwin Shaw,male,1913-02-27,United States of America,New York City
James Gleick,male,1954-08-01,United States of America,New York City
Derek Landy,male,1974-10-23,Ireland,Lusk
Charles Baudelaire,male,1821-04-09,France,Paris
Ruta Sepetys,female,1967-01-01,United States of America,Detroit
Vicki Myron,female,1947-01-01,United States of America,Spencer
Jack Higgins,male,1929-07-27,United Kingdom,Newcastle upon Tyne
Eric Hill,male,1927-09-07,"United Kingdom, Belgium",Holloway
Edward Said,male,1935-11-01,United States of America,Jerusalem
Frank McConnell,male,1887-01-17,Canada,Vancouver
Rachel Carson,female,1907-05-27,United States of America,Rachel Carson Homestead
Tiina Nunnally,female,1952-08-07,United States of America,Chicago
Andre Dubus III,male,1959-09-11,United States of America,Oceanside
Bill Buford,male,1954-01-01,United States of America,Baton Rouge
Rosemary Wells,female,1943-01-29,United States of America,New York City
Nick Bruel,male,1978-12-09,United States of America,Tarrytown
Terry Southern,male,1924-05-01,United States of America,Alvarado
Bertolt Brecht,male,1898-02-10,"German Empire, German Democratic Republic, Weimar Republic, Austria",Augsburg
Barbara Delinsky,female,1945-08-09,United States of America,Boston
Jon Foster,male,1984-08-03,United States of America,Boston
Noel Streatfeild,female,1895-12-24,"United Kingdom, United Kingdom of Great Britain and Ireland","Sussex, Frant"
Jules Feiffer,male,1929-01-26,United States of America,The Bronx
Theodore Ziolkowski,male,1932-09-30,United States of America,Birmingham
Erich Segal,male,1937-06-16,United States of America,Brooklyn
Thomas J. Stanley,male,1944-00-00,United States of America,The Bronx
Iris Johansen,female,1938-04-07,United States of America, Louis
Dave Eggers,male,1970-03-12,United States of America,Boston
Lin-Manuel Miranda,male,1980-01-16,United States of America,Washington Heights
Jacqueline Woodson,female,1963-02-12,United States of America,Columbus
Tony Hawks,male,1960-05-12,United Kingdom,Brighton
Sloane Crosley,female,1978-08-03,United States of America,New York City
Tedd Arnold,male,1949-01-20,United States of America,Elmira
Steven Naifeh,male,1952-06-19,United States of America,Tehran
Eric Shanower,male,1963-10-23,United States of America,Key West
Lionel Trilling,male,1905-07-04,United States of America,Queens
Brian Herbert,male,1947-06-29,United States of America,Seattle
James Luceno,male,1947-01-01,United States of America,United States of America
Tad Williams,male,1957-03-14,United States of America,San Jose
Georg Wilhelm Friedrich Hegel,male,1770-08-27,Germany,Stuttgart
Shawn Achor,male,1978-03-09,United States of America,Waco
Joanna Trollope,female,1943-12-09,United Kingdom,Minchinhampton
Richard Scarry,male,1919-06-05,United States of America,Boston
Michael Rosen,male,1946-05-07,United Kingdom,Harrow
Robin Sloan,male,1979-12-19,United States of America,Michigan
Frederick Forsyth,male,1938-08-25,United Kingdom,Ashford
Adeline Yen Mah,female,"1937-11-30, 1937-11-03",United States of America,Tianjin
Chris Bohjalian,male,1962-08-12,United States of America,White Plains
Kate Douglas Wiggin,female,1856-09-28,United States of America,Philadelphia
Suki Kim,female,1970-09-19,"United States of America, South Korea",Seoul
Jim Cymbala,male,1959-01-01,United States of America,Brooklyn
Malcolm X,male,1925-05-19,United States of America,Omaha
Henry Fielding,male,1707-04-22,"Great Britain, United Kingdom",Sharpham
Ramez Naam,male,2000-01-01,"United States of America, Egypt",Cairo
Thomas More,male,1478-02-07,Kingdom of England,London
Josephine Tey,female,1896-07-25,United Kingdom,Inverness
Steven Kellogg,male,1941-10-26,United States of America,Norwalk
Damon Knight,male,1922-09-19,United States of America,Baker City
Tracy Chevalier,female,1962-10-19,"United States of America, United Kingdom",
Jacqueline Kelly,female,2000-00-00,United States of America,New Zealand
Arthur C. Clarke,male,1917-12-16,"United Kingdom, Sri Lanka",Minehead
Louise Doughty,female,1963-09-04,United Kingdom,Melton Mowbray
Daniel J. Boorstin,male,1914-10-01,United States of America,Atlanta
Inga Muscio,female,1966-00-00,United States of America,Santa Maria
Sarah Winman,female,1964-00-00,United Kingdom,Ilford
Solomon Northup,male,"1808-07-10, 1808-01-01",United States of America,Minerva
Ed Brubaker,male,1966-11-17,United States of America,Bethesda
Gabriel García Márquez,male,1927-03-06,Colombia,Aracataca
James Ellroy,male,1948-03-04,United States of America,Los Angeles
Joseph Boyden,male,1966-10-31,Canada, Toronto
Mikhail Lermontov,male,"1814-10-03, 1814-10-02, 1814-10-15",Russian Empire,Moscow
Sandra Brown,female,1948-03-12,United States of America,Waco
George MacDonald,male,1824-12-10,United Kingdom of Great Britain and Ireland,Huntly
George Lucas,male,1944-05-14,United States of America,Modesto
Carol Burnett,female,1933-04-26,United States of America,San Antonio
Brian Michael Bendis,male,1967-08-18,United States of America,"Cleveland, Ohio, United States of America"
Colleen McCullough,female,1937-06-01,Australia,Wellington
Virginia Woolf,female,1882-01-25,"United Kingdom, United Kingdom of Great Britain and Ireland","Kensington, South Kensington, Hyde Park Gate"
Rhonda Byrne,female,1951-03-12,Australia,Melbourne
Suzy Welch,female,1959-01-01,United States of America,Portland
Jhumpa Lahiri,female,1967-07-11,"United States of America, India, United Kingdom",London
Oliver Jeffers,male,1977-01-01,United Kingdom,Port Hedland
Eleanor H. Porter,female,1868-12-19,United States of America,Littleton
Edwin O. Reischauer,male,1910-10-15,United States of America,Tokyo
Piper Kerman,female,1969-09-28,United States of America,Boston
Peter Thiel,male,1967-10-11,"New Zealand, Germany, United States of America",Frankfurt am Main
David Sedaris,male,1956-12-26,United States of America,Binghamton
Larry McMurtry,male,1936-06-03,United States of America,Archer City
Ryan Holiday,male,1987-06-16,United States of America,Sacramento
John Betjeman,male,1906-08-28,"United Kingdom, United Kingdom of Great Britain and Ireland",London
Johnny Cash,male,1932-02-26,United States of America,Kingsland
Marguerite Duras,female,1914-04-04,France,Gia Định
Peggy Fortnum,female,1919-12-23,"United Kingdom, United Kingdom of Great Britain and Ireland",Harrow
David Grann,male,1967-03-10,United States of America,New York City
Richard Matheson,male,1926-02-20,United States of America,Allendale
Colin Meloy,male,1974-10-05,United States of America,Helena
Anita Jeram,female,1965-07-13,"United States of America, United Kingdom",Portsmouth
Sylvia Plath,female,1932-10-27,United States of America,Boston
Jussi Adler-Olsen,male,1950-08-02,Denmark,Copenhagen
Sally Bedell Smith,female,1948-01-01,United States of America,Bryn Mawr
Gia-Fu Feng,male,1919-01-01,China,Shanghai
Josh Hamilton,male,1981-05-21,United States of America,Raleigh
Meca Tanaka,female,1976-12-23,Japan,Aichi Prefecture
